,features,f_coef
0,abandoned,0.010163995350971814
1,ability,0.021072648653388166
2,ability to,0.024023212726690838
3,able,0.0013554789885341482
4,able to,0.028769780215266827
5,able to be,0.011010124956436032
6,able to do,0.027306313589288752
7,able to find,-0.0014183747936280635
8,able to get,0.0027386215709367676
9,able to go,-0.020408256623392514
10,able to help,-0.000768089925089958
11,able to talk,0.011260020665965422
12,about,-0.035088757103584486
13,about all,0.03499723486071995
14,about all the,-0.030202308220947598
15,about an,-0.01235094055389379
16,about and,-0.024712253181593924
17,about any,0.0016701230652282355
18,about anything,0.014535397006735713
19,about being,0.0033984584307120663
20,about but,-0.017454062271596432
21,about depression,-0.029982127588487038
22,about everything,-0.0005381025372343298
23,about getting,-0.008513143413601595
24,about going,0.0074058894869710535
25,about having,-0.021107302417422372
26,about her,-0.02429624353807694
27,about him,0.025969685550902576
28,about his,0.02575692455836817
29,about hours,-0.005343547020527615
30,about how,-0.06913151617112008
31,about how feel,-0.02261899050236661
32,about how much,-0.012161950515145539
33,about is,0.029671849485267382
34,about it,0.010881788003670794
35,about it and,-0.02133748489303939
36,about it because,-0.007747413758720606
37,about it but,-0.0026081200224294236
38,about life,-0.008261039817169892
39,about me,0.01575995930430553
40,about me and,-0.008327362903577306
41,about me but,0.022396880991196383
42,about month,0.004033102814808573
43,about months,0.005404770255100133
44,about months ago,0.005241071244001576
45,about my,0.1115039167197207
46,about my depression,0.04944754284248474
47,about my feelings,0.008127606519458605
48,about my life,0.035454929279961585
49,about my problems,-0.008457190351367615
50,about myself,-0.039504533008330824
51,about myself and,-0.028242139339986094
52,about not,0.02435796633412876
53,about or,0.01002246371840404
54,about people,-0.03395671157616935
55,about some,-0.000326819880284421
56,about something,0.009127648125497495
57,about suicide,0.01281049046231738
58,about that,0.02433895778651742
59,about the,0.002096826844493175
60,about their,0.06480034444994286
61,about them,0.017794816030340548
62,about these,0.015491942613903223
63,about things,0.052664387902903474
64,about this,-0.00040708325615758677
65,about to,-0.018274362979755304
66,about two,-0.004293278727184144
67,about week,-0.023481905262396272
68,about weeks,-0.02402142696107731
69,about what,-0.01884679195714866
70,about why,-0.008273386064782824
71,about year,-0.021817480026147893
72,about year ago,-0.022928427494525217
73,about years,-0.06967466215777023
74,about years ago,0.006655340695719644
75,about you,-0.044132930428524786
76,above,-0.0757471800520994
77,abroad,-0.09427932592802747
78,absolute,-0.017363290184248707
79,absolutely,0.05199263375548422
80,absolutely no,0.011753053846072658
81,absolutely nothing,0.04305870205475871
82,abuse,0.042759743370320305
83,abused,0.018812498351271773
84,abusive,0.021576447153791662
85,academic,0.01192385242210949
86,accept,0.004040408658361462
87,accept that,0.009112518028491149
88,accepted,-0.024276171745375344
89,accepting,0.030659403097563147
90,access,0.04700290271198973
91,accident,-0.023993740340416483
92,accomplish,-0.009106678937233565
93,accomplished,0.03059775481236412
94,according,-0.019320137682074304
95,according to,-0.01665055772379467
96,account,-0.005837501270373177
97,ache,0.007938402553787471
98,aches,0.021869522177368275
99,achieve,-0.010917579694848887
100,achieved,0.02257600141362429
101,acknowledge,-0.03047961288934898
102,across,-0.029643867373268205
103,across the,0.029760766476313646
104,act,-0.015660549069153238
105,act like,-0.02635868227300736
106,acted,-0.0006166358992756673
107,acting,0.017434447936159773
108,acting like,0.022668612350225353
109,action,-0.006891127755167822
110,actions,-0.010415008400960546
111,active,0.02279316543646117
112,activities,-9.326651682487521e-05
113,activity,-0.0442979397052573
114,acts,0.011959044836184584
115,actual,0.016304918426199314
116,actually,0.09443686375996554
117,actually have,-0.008795156106941279
118,add,-0.009501005888376464
119,add to,-0.03644627135660977
120,added,-0.026283436825599266
121,addict,-0.002886572618964855
122,addicted,-0.04243245424830033
123,addicted to,-0.04238913655368974
124,addiction,0.03528553391122411
125,addition,0.006323070067069169
126,adhd,-0.01604929191765144
127,admit,0.05061045853711888
128,admitted,-0.0012326339882409653
129,admitted to,-0.026038996598564765
130,adult,0.03863077988489491
131,advance,-0.049682984913317976
132,advantage,0.03255096109805207
133,advantage of,0.02112674789123559
134,advice,-0.2430431128509498
135,advice and,-0.01581250315474028
136,advice on,-0.04730610020156965
137,advice or,-0.03460210342978799
138,advice would,-0.0020558888758705927
139,advise,-0.05924727379245735
140,affect,-0.08110768743538743
141,affected,0.032316058477872577
142,affecting,0.025254329933927237
143,affects,-0.027089518839093517
144,afford,-0.06410654284810485
145,afford it,0.0004085982294213843
146,afford to,-0.04676909077443395
147,afraid,0.057105591526234
148,afraid of,-0.06712068332028484
149,afraid that,0.021389760482788442
150,afraid to,-0.009143450730934855
151,after,-0.07597825279547366
152,after all,0.013365762787016719
153,after another,-0.008751570921007057
154,after being,-0.03060499689336804
155,after few,-0.0024539589935361076
156,after he,-0.0016586387282350168
157,after my,0.01476525144268649
158,after she,-0.0007001679570235668
159,after that,0.05169489278085025
160,after the,0.06677878630933377
161,after this,5.150156848767548e-05
162,after we,0.004037138181437855
163,after while,-0.029622773239621893
164,after years,-0.0017832160346164742
165,after years of,-0.021688489719622436
166,afternoon,0.0529535818679278
167,afterwards,-0.06284878848458311
168,again,0.12911537976885012
169,again am,0.037614294883833825
170,again and,-0.0713760087844521
171,again because,0.010999265442073589
172,again but,-0.01031680126974169
173,again dont,-0.006533181371614921
174,again for,-0.00759674708150879
175,again have,-0.037639664865447134
176,again im,-0.0022000091626678438
177,again in,0.01783562747072217
178,again it,0.008947927229348092
179,again its,0.03348400782696932
180,again just,-0.03312978069720066
181,again my,0.051892082070558475
182,again so,0.006369059059380741
183,again the,0.011473618525236746
184,again this,-0.00029210077216907136
185,again to,0.009369266343268992
186,again was,0.008456475584542125
187,against,-0.06425072105663204
188,against me,-0.009629592883000844
189,against the,-0.01996978824032267
190,age,-0.06522588450391703
191,age and,-0.007415065345405237
192,age of,-0.019259663370832403
193,ages,0.04642654864315082
194,aggressive,-0.061468420857420075
195,ago,-0.037463435101854625
196,ago and,-0.023898743093280238
197,ago but,-0.009108110745438472
198,ago had,-0.028362305407652444
199,ago my,-0.0037915837961612028
200,ago that,-0.004742335912190278
201,ago was,0.0028785451069811402
202,ago when,-0.015109391085709281
203,agony,-0.04724008318366076
204,agree,-0.02643740935097877
205,agreed,-0.04971903072684358
206,agreed to,-0.01539251793608598
207,ahead,-0.017644701035541457
208,ahead of,0.013905070212126409
209,aid,-0.005898819667682533
210,aint,0.011916756256916263
211,air,0.03270884062196496
212,alcohol,-0.14852134738820877
213,alcohol and,-0.047576674458757975
214,alcoholic,0.006044467676824454
215,alex,0.08196231161401238
216,alive,-0.07170858805612858
217,alive and,-0.018347726248295594
218,all,-0.01343872113206952
219,all about,0.015515610738423984
220,all alone,0.01835007772069814
221,all am,-0.008954579039733866
222,all and,-0.005793420402904486
223,all around,0.01434793808421317
224,all at,-0.0038753788855161917
225,all because,0.021572614596893656
226,all but,0.056627621113507644
227,all can,-0.03876919818187854
228,all can do,-0.01816560724562565
229,all can think,0.0018970815262895743
230,all could,0.003002209258907846
231,all day,-0.00877352953197746
232,all day and,0.04264180114418237
233,all day long,-0.027962934225757678
234,all did,0.019487585354414777
235,all do,0.010572272656085915
236,all do is,0.012892961795300625
237,all dont,0.029109222604534756
238,all feel,0.00558365750800749
239,all for,0.0018125890918263162
240,all have,0.04951885527671526
241,all he,-0.01603910541132919
242,all im,-0.0006583598150363358
243,all in,0.012001370755469897
244,all is,-0.006845326318616896
245,all it,-0.009260092092693458
246,all its,0.014848876737313178
247,all ive,0.008762425618117489
248,all just,0.028568511751123425
249,all kinds,-0.02745621837731116
250,all kinds of,-0.02361079066851045
251,all know,0.05347242571307455
252,all know is,0.0037818743598975434
253,all my,0.07293717461347467
254,all my fault,0.016168760657479023
255,all my friends,-0.011590692326181932
256,all my life,0.014807754072805128
257,all my problems,0.020326360849135142
258,all night,-0.01615241864400412
259,all of,0.02150313274041908
260,all of it,2.916214671880295e-05
261,all of my,0.05168008571193374
262,all of sudden,-0.012272040542539872
263,all of that,-0.03284030968625787
264,all of the,-0.004911420752635993
265,all of them,-0.00686269262682975
266,all of these,-0.0036771916017472334
267,all of this,0.02327985527401845
268,all of you,-0.06278884260766768
269,all out,-0.04427043132632547
270,all over,-0.006166182809520334
271,all over again,-0.009322491725911758
272,all over the,0.03164660314665021
273,all really,-0.015636530783834774
274,all she,-0.010255507678045783
275,all so,-0.05528944012885123
276,all sorts,-0.0016880911448774827
277,all sorts of,0.0003659414877656262
278,all started,-0.03662469962939418
